Iteração,Sum1,Sum2,Sum3
1,37025,36035,36091
2,37372,35896,35871
3,37223,35766,35665
4,37171,36244,36109
5,36835,35812,36181
6,37002,35593,35512
7,37225,36206,36189
8,37252,36262,35903
9,36720,35628,35481
10,36429,35318,35518
11,36981,35306,35533
12,36691,35275,35653
13,36386,35287,35283
14,36213,34855,35153
15,36737,35693,35613
16,36400,35407,34952
17,36353,34605,35004
18,36439,35189,34933
19,36703,35836,35498
20,36124,35349,34871
21,36894,35087,34941
22,36560,35404,35149
23,36484,35490,34905
24,36234,35003,34789
25,35824,34492,35100
26,36621,35548,35335
27,36167,35095,34989
28,36281,34996,34802
29,36185,34937,34915
30,36292,34835,34855
31,35733,34738,34926
32,35856,34527,34795
33,35984,34441,34692
34,36166,34647,34594
35,36284,35290,35148
36,35938,34865,34703
37,36125,34988,34595
38,36073,35141,34665
39,36012,35108,35053
40,36243,34824,35129
41,36147,34900,34918
42,36079,35236,34946
43,36386,34824,34861
44,36557,34914,35020
45,36329,34850,35162
46,36118,34880,35253
47,36008,35255,35478
48,36355,34964,35249
49,36163,34780,35226
50,36502,35280,35540
51,36774,35067,35455
52,36533,35743,36093
53,36519,35456,35253
54,36847,35330,35937
55,36737,35536,36114
56,36757,35738,35758
57,37090,35790,36042
58,36804,35600,35786
59,36594,35646,36138
60,37070,35827,35886
61,36941,36139,36092
62,37148,36148,36114
63,37250,36287,36421
64,37148,36442,35693
65,37133,36045,35751
66,37433,35869,35947
67,37131,35966,35721
68,37261,36372,35936
69,37477,36763,36530
70,36994,36036,35911
71,36764,35886,35922
72,36926,36062,35888
73,37084,36338,35478
74,36915,35813,35781
75,37046,36181,36380
76,37108,36474,36291
77,37221,35542,35959
78,37089,36197,35918
79,36594,35671,35891
80,36793,36050,35895
81,36865,35939,35797
82,36867,35726,35838
83,37508,35778,35959
84,37206,35506,35845
85,36577,35746,35800
86,37001,35839,36115
87,36721,36237,35850
88,36989,35756,36015
89,36895,35770,36284
90,36834,35300,36187
91,36685,35652,36032
92,36888,35490,35620
93,36701,36001,35772
94,36993,35995,35623
95,36995,35726,35685
96,36990,35641,35566
97,36873,35788,35700
98,36723,35554,35949
99,36808,35998,35834
100,36496,36013,35693
101,36820,36341,36136
102,36671,35461,35745
103,36678,35539,35592
104,36705,35456,35321
105,36527,35623,35653
106,36728,36055,36014
107,36820,36047,35563
108,37107,35330,35709
109,37274,35897,35909
110,36872,35724,35763
111,37123,36456,35847
112,37353,36152,36133
113,36917,35700,36145
114,37313,36629,36530
115,37386,36319,36410
116,36919,35763,36036
117,37677,36253,36239
118,37287,35631,36062
119,37262,36074,36030
120,37231,35966,36455
121,37422,35942,36257
122,37320,36074,36420
123,37549,35862,36320
124,37517,36701,36444
125,37603,36500,36582
126,38071,36308,36547
